uid,crop_name,main_stage,sub_stage_name,start_day,end_day,data_source,created_at,updated_at,deleted_at,susceptible_pests,pest_risk_factors,pest_management,susceptible_diseases,disease_risk_factors,disease_management,env_conditions
csk_2d35fded-2ee5-4f77-b33c-8e361987aef5,sugarcane,Growth Stages,Maturity/Ripening Phase,271,360,llm,2026-05-23 13:18:57.493754+00:00,2026-06-30 09:48:40.844639+00:00,,"Stalk borer, Sugarcane woolly aphid","Dry conditions, nutrient deficiency, late planting, poor irrigation management","Cultural: Proper irrigation, balanced fertilization, detrashing. Biological: Release of parasitoids and predators for woolly aphid. Chemical: Application of Dimethoate, Methyl parathion (use with caution).","Red rot, Rust","Cool and humid conditions, dew formation, susceptible varieties, ratooning","Cultural: Use resistant varieties, avoid excessive irrigation, proper drainage. Biological: Foliar spray of Bacillus subtilis. Chemical: Foliar spray of Propiconazole, Tebuconazole.","{""uv_index"": ""5-7"", ""temp_max_c"": ""38"", ""temp_min_c"": ""10"", ""photoperiod"": ""10-11"", ""soil_temp_c"": ""20-25"", ""irrigation_mm"": ""15-20"", ""optimal_temp_c"": ""18-24"", ""avg_yield_kg_ha"": ""75000-100000"", ""rel_humidity_pct"": ""45-55"", ""harvest_index_pct"": ""80-85"", ""soil_moisture_pct"": ""40-50""}"
csk_c4e25e6c-3675-4717-8cfa-f029706dbd71,sunflower,"Inflorescence Emergence : The bud grows significantly, with immature bracts opening  and the head fully separating from the leaf canopy",Flowering (R5),8,10,llm,2026-06-01 17:14:51.948812+00:00,2026-06-30 10:00:00.027595+00:00,,"head borer caterpillar, sucking pests, thrips, green jassids","cloudy weather, high humidity, and too much nitrogen fertilizer","Field care: Handpick and destroy any visible caterpillars from the flower heads. Natural control: Spray neem oil mixed with soap water on the flowers in the evening. Spray if needed: Use a mild chemical spray recommended by your local shop only if the damage is severe, but avoid spraying during peak morning hours when honeybees are visiting the flowers.","head rot, powdery mildew, leaf spot","continuous rains, waterlogging in the field, and crowded plants",Field care: Drain out any standing water from the field immediately and remove infected flower heads. Natural control: Spray a mixture of baking soda and water or use bio-fungicides like Trichoderma. Spray if needed: Spray a basic copper-based medicine on the flower heads if you see rotting during rainy days.,"{""uv_index"": ""6-8"", ""temp_max_c"": ""38"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-13"", ""soil_temp_c"": ""22-26"", ""irrigation_mm"": ""45-55"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""1500-2000"", ""rel_humidity_pct"": ""50-60"", ""harvest_index_pct"": ""30-35"", ""soil_moisture_pct"": ""60-70""}"
csk_7806e345-1383-494f-bd16-10b6e249968f,bajra_(pearl_millet),Growth Stages,Vegetative Phase,0,21,llm,2026-05-25 05:00:09.011743+00:00,2026-05-25 18:14:30.276361+00:00,,"Shoot fly, White grub, Aphids","Early sowing, Continuous cropping, High humidity, Waterlogged conditions, Lack of crop rotation","Cultural: Timely sowing, Crop rotation, Intercropping with legumes, Field sanitation. Biological: Application of neem-based products, Use of biocontrol agents like Trichoderma. Chemical: Seed treatment with imidacloprid, Foliar spray of dimethoate or methyl demeton.","Downy mildew, Ergot","High humidity, Cool temperatures, Continuous cropping, Use of infected seeds, Poor soil drainage","Cultural: Crop rotation, Use of disease-free seeds, Field sanitation, Proper drainage. Biological: Seed treatment with Trichoderma viride. Chemical: Seed treatment with metalaxyl, Foliar spray of mancozeb or copper oxychloride.","{""irrigation_mm"": ""15-20"", ""temp_min_c"": ""20"", ""temp_max_c"": ""45"", ""optimal_temp_c"": ""25-35"", ""avg_yield_kg_ha"": ""N/A"", ""soil_moisture_pct"": ""60-70"", ""rel_humidity_pct"": ""40-60"", ""uv_index"": ""6-8"", ""soil_temp_c"": ""25-30"", ""photoperiod"": ""12-14 hours"", ""harvest_index_pct"": ""N/A""}"
csk_59888e1d-e763-46d2-ab5d-e6a0e97b7845,rice,Vegetative Phase,Germination & Seedling,0,20,llm,2026-05-22 06:25:15.206092+00:00,2026-05-26 08:12:53.443252+00:00,,"Rice root aphid, Thrips, Stem borers, Whorl maggot","Poor seed quality, waterlogged conditions, high humidity, early planting, continuous rice cropping","Cultural: Use healthy seeds, ensure proper drainage, avoid early planting. Biological: Apply bio-pesticides like Beauveria bassiana. Chemical: Seed treatment with Imidacloprid, foliar spray of Thiamethoxam.","Seedling blight, Bakanae, Brown spot","High humidity, warm temperatures, infected seeds, excessive nitrogen fertilization, poor drainage","Cultural: Use disease-free seeds, improve drainage, balanced fertilization. Biological: Seed treatment with Trichoderma viride. Chemical: Seed treatment with Carbendazim, foliar spray of Propiconazole.","{""irrigation_mm"": ""25-50"", ""temp_min_c"": ""15"", ""temp_max_c"": ""35"", ""optimal_temp_c"": ""25-32"", ""avg_yield_kg_ha"": ""0"", ""soil_moisture_pct"": ""Saturated to flooded"", ""rel_humidity_pct"": ""60-90"", ""uv_index"": ""5-8"", ""soil_temp_c"": ""20-30"", ""photoperiod"": ""12-14 hours"", ""harvest_index_pct"": ""0""}"
csk_16774816-f0d5-4a44-b0a9-8ff4236dc385,rice,Reproductive Phase,Panicle Initiation & Booting,60,70,llm,2026-05-22 06:25:15.206092+00:00,2026-05-26 10:30:34.336235+00:00,,"Stem borers, BPH, Rice bug, Gundhi bug","High humidity, cloudy weather, excessive nitrogen fertilization, presence of weeds","Cultural: Weed management, balanced fertilization. Biological: Conserve natural enemies like spiders and ladybird beetles. Chemical: Foliar spray of Imidacloprid, Fipronil, Chlorpyrifos.","Blast, Sheath blight, False smut","High humidity, warm temperatures, excessive nitrogen fertilization, stagnant water, continuous rice cropping","Cultural: Balanced fertilization, proper water management. Biological: Apply Bacillus subtilis. Chemical: Foliar spray of Propiconazole, Hexaconazole, Copper oxychloride.","{""irrigation_mm"": ""25-50"", ""temp_min_c"": ""20"", ""temp_max_c"": ""35"", ""optimal_temp_c"": ""28-32"", ""avg_yield_kg_ha"": ""N/A"", ""soil_moisture_pct"": ""Saturated to field capacity"", ""rel_humidity_pct"": ""60-80"", ""uv_index"": ""6-8"", ""soil_temp_c"": ""25-30"", ""photoperiod"": ""Day-neutral"", ""harvest_index_pct"": ""N/A""}"
csk_1da00464-3007-4d47-9d8e-673b8c342be1,broad_bean,Germination,Seed Swelling,0,3,llm,2026-05-26 13:20:32.413059+00:00,2026-05-26 13:20:32.413059+00:00,,"Aphids (Maahu), Thrips (Chichdi)","Warm weather, dry soil, nearby weedy areas","Field care: Keep the field clean of weeds. Natural control: Use yellow sticky traps to catch flying insects. Spray if needed: If you see many aphids or thrips, spray neem oil every week.","Seed rot, Damping off (plant wilting)","Too much moisture in the soil, cold weather, poor drainage","Field care: Make sure the soil drains well and don't sow seeds too close together. Natural control: Add Trichoderma to the soil. Spray if needed: If plants start to rot or wilt, spray copper oxychloride.","{""uv_index"": ""5-7"", ""temp_max_c"": ""30"", ""temp_min_c"": ""5"", ""photoperiod"": ""12-14"", ""soil_temp_c"": ""10-20"", ""irrigation_mm"": ""10-15"", ""optimal_temp_c"": ""15-25"", ""avg_yield_kg_ha"": ""0"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""60-70""}"
csk_d6d10bf4-62fb-4f1b-8114-f21d199f913f,broad_bean,Germination,Radicle Emergence,3,5,llm,2026-05-26 13:20:32.413059+00:00,2026-05-26 13:20:32.413059+00:00,,"Aphids, Thrips","Warm weather, dry soil, nearby weedy areas",Field care: Remove weeds around the field. Natural control: Encourage ladybugs and other predator insects. Spray if needed: Use a neem oil spray if you see many small insects on the leaves.,"Damping-off, Root rot","Too much moisture in the soil, cold weather, poor drainage","Field care: Make sure the soil drains well and don't water too much. Natural control: Add Trichoderma to the soil. Spray if needed: If seedlings start to rot, spray with copper oxychloride.","{""uv_index"": ""3-6"", ""temp_max_c"": ""30"", ""temp_min_c"": ""5"", ""photoperiod"": ""12-14"", ""soil_temp_c"": ""10-20"", ""irrigation_mm"": ""10-15"", ""optimal_temp_c"": ""15-25"", ""avg_yield_kg_ha"": ""0"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""60-70""}"
csk_23ce17be-6128-45cd-adbd-f589021e6de7,bajra_(pearl_millet),Growth Stages,Grain-Filling Phase,42,77,llm,2026-05-25 05:00:09.011743+00:00,2026-06-30 09:48:12.735993+00:00,,"Grain midge, Earhead caterpillar, Blister beetle","Late sowing, High humidity, Continuous cropping, Infestation in nearby fields, Poor grain filling","Cultural: Timely harvesting, Field sanitation. Biological: Application of neem-based products. Chemical: Spraying of malathion or dimethoate (consider pre-harvest interval).","Ergot, Smut, Grain mold","High humidity, Warm temperatures, Late rains, Poor grain filling, Bird damage","Cultural: Timely harvesting, Proper storage, Field sanitation. Biological: Application of Bacillus subtilis. Chemical: Spraying of propiconazole or tebuconazole (consider pre-harvest interval).","{""uv_index"": ""6-10"", ""temp_max_c"": ""42"", ""temp_min_c"": ""15"", ""photoperiod"": ""11-12"", ""soil_temp_c"": ""25-32"", ""irrigation_mm"": ""25-35"", ""optimal_temp_c"": ""25-30"", ""avg_yield_kg_ha"": ""1500-2500"", ""rel_humidity_pct"": ""40-60"", ""harvest_index_pct"": ""30-35"", ""soil_moisture_pct"": ""40-50""}"
csk_a98801b1-4ed5-4053-b71f-d77786d257f7,broad_bean,Germination,Seedling Emergence,5,10,llm,2026-05-26 13:20:32.413059+00:00,2026-05-26 13:20:32.413059+00:00,,"Aphids (Maahu), Thrips (Chitka)","Warm weather, dry conditions, overcrowding of plants.","Field care: Remove weeds and keep the field clean. Natural control: Use yellow sticky traps to catch flying insects. Spray if needed: Spray neem oil in the evening, repeating weekly if pests persist.","Damping-off (seedling rot), Root rot","Too much moisture in the soil, poor drainage, planting seeds too close together.","Field care: Ensure good drainage and avoid overwatering. Natural control: Apply Trichoderma as a soil drench. Spray if needed: If damping-off appears, spray copper oxychloride, following label instructions carefully.","{""uv_index"": ""6-8"", ""temp_max_c"": ""30"", ""temp_min_c"": ""5"", ""photoperiod"": ""10-12"", ""soil_temp_c"": ""10-20"", ""irrigation_mm"": ""15-20"", ""optimal_temp_c"": ""15-22"", ""avg_yield_kg_ha"": ""0"", ""rel_humidity_pct"": ""60-80"", ""harvest_index_pct"": ""0"", ""soil_moisture_pct"": ""60-70""}"
csk_68240ffc-2551-44aa-8f7b-5024638d0575,broad_bean,Vegetative Phase,Early Vegetative Growth,10,25,llm,2026-05-26 13:20:32.413059+00:00,2026-05-26 13:20:32.413059+00:00,,"Aphids (Maahu), Thrips (Chitki), Bean fly (Sem ki makkhi)","Warm weather, dry conditions, overcrowding of plants, nearby weedy areas.","Field care: Remove weeds around the field. Ensure good airflow between plants by spacing them properly. Natural control: Use yellow sticky traps to catch flying insects. Spray if needed: Spray neem oil or a mild soap solution, especially under the leaves, if you see many pests.","Root rot (Jad sadan), Powdery mildew (Safed powder)","Waterlogged soil, high humidity, dense planting, poor air circulation.",Field care: Ensure good drainage to avoid waterlogging. Space plants adequately. Natural control: Spray cow urine solution. Spray if needed: Use copper-based fungicide if the disease spreads quickly; follow the instructions on the label carefully.,"{""uv_index"": ""6-8"", ""temp_max_c"": ""30"", ""temp_min_c"": ""10"", ""photoperiod"": ""12-14 hours"", ""soil_temp_c"": ""15-22"", ""irrigation_mm"": ""15-20"", ""optimal_temp_c"": ""15-25"", ""avg_yield_kg_ha"": ""Not Applicable"", ""rel_humidity_pct"": ""60-70"", ""harvest_index_pct"": ""Not Applicable"", ""soil_moisture_pct"": ""60-70""}"
csk_b2813d57-5be4-413d-ba98-0778a7de0be3,broad_bean,Vegetative Phase,Leaf Development,25,40,llm,2026-05-26 13:20:32.413059+00:00,2026-05-26 13:20:32.413059+00:00,,"Aphids (Maahu), Thrips (Kaala Machhi)","Warm weather, overcrowding of plants, nearby weedy areas",Field care: Remove weeds around the field. Natural control: Use yellow sticky traps to catch flying insects. Spray if needed: Spray neem oil or a mild soap solution if you see many insects.,"Leaf spot (Daag), Powdery mildew (Safed Powder)","High humidity, overcrowding, poor air circulation",Field care: Ensure good spacing between plants for air flow. Natural control: Spray cow urine solution. Spray if needed: Use a fungicide if the spots or white powder spread quickly.,"{""uv_index"": ""6-8"", ""temp_max_c"": ""30"", ""temp_min_c"": ""5"", ""photoperiod"": ""12-14 hours"", ""soil_temp_c"": ""15-22"", ""irrigation_mm"": ""20-30"", ""optimal_temp_c"": ""15-25"", ""avg_yield_kg_ha"": ""500-700"", ""rel_humidity_pct"": ""60-70"", ""harvest_index_pct"": ""N/A"", ""soil_moisture_pct"": ""60-70""}"
