crop_name,lan_kan,lan_hin,lan_mar,lan_tel,lan_tam,lan_guj,lan_urd,lan_ban,lan_ori,lan_mal,meta,uid,created_at,updated_at,deleted_at,lan_ass,lan_pun
Sunflower,ಸೂರ್ಯಕಾಂತಿ,सूरजमुखी,सूर्यफूल,పొద్దుతిరుగుడు పువ్వు,சூரியகாந்தி,સૂર્યમુખી,سورج مکھی,সূর্যমুখী,ସୂର୍ଯ୍ୟମୁଖୀ,സൂര്യകാന്തി,{},crops_54ae54dd-d567-4b19-9576-35aa6b16c866,2026-01-19 11:10:07.240966+00:00,,,,
Tea,ಚಹಾ,चाय,चहा,టీ,தேநீர்,ચા,چائے,চা,ଚା,ചായ,{},crops_06db6c71-266d-4632-a60d-df2643c3d727,2026-01-19 11:10:45.484465+00:00,,,,
Ginger,ಶುಂಠಿ,अदरक,आले,అల్లం,இஞ்சி,આદુ,ادرک,আদা,ଅଦା,ഇഞ്ചി,{},crops_ecd8476b-0f97-4ea3-b710-8b2d1a18075b,2026-01-19 10:54:02.419131+00:00,,,,
rice,ಅಕ್ಕಿ,चावल,तांदूळ,బియ్యం,அரிசி,ચોખા,چاول,ভাত,ଚାଉଳ,അരി,{},crops_3549c7d5-3d95-4ed7-aa54-6d25accb5ff7,2026-01-09 04:54:04.731347+00:00,,,,
Abaca (Manila hemp),ಅಬಾಕ,अबाका (मनीला भांग),अबाका (मनिला भांग),అబాకా (మనీలా హెంప్),அபாக்கா (மணிலா சணல்),અબાકા (મનીલા શણ),اباکا (منیلا بھنگ),আবাকা (ম্যানিলা শণ),ଆବାକା (ମଣିଲା ହେମ୍ପ),അബാക്ക (മനില ഹെംപ്),{},crops_68425ef3-d8b7-4d6d-9ab0-779da5616969,2026-01-19 10:22:18.899570+00:00,,,,
Alfalfa,ಅಲ್ಫಾಲ್ಪಾ,अल्फाल्फा,अल्फाल्फा,అల్ఫాల్ఫా,அல்ஃப்ல்ஃபா,આલ્ફલ્ફા,الفالفہ,আলফালফা,ଆଲଫାଲଫା,അൽഫാൽഫ,{},crops_f396b40b-8f51-46af-ae63-5f7e3cf8312b,2026-01-19 10:25:38.632843+00:00,,,,
Almond,ಬಾದಾಮಿ,बादाम,बदाम,బాదం,பாதாம்,બદામ,بادام,বাদাম,ବାଦାମ,ബദാം,{},crops_4dadf0c1-b6a0-4db6-a06a-fea38a764e0a,2026-01-19 10:26:05.481790+00:00,,,,
Anise seeds,ಸೋಂಪು ಕಾಳು,सौंफ के बीज,बडीशेप बियाणे,సోంపు గింజలు,சோம்பு விதைகள்,વરિયાળીના બીજ,سونف کے بیج,মৌরি বীজ,ଆନିଜ୍ ବିହନ,സോപ്പ് വിത്തുകൾ,{},crops_9a3533f0-d6d9-4393-8a26-1267d51ff528,2026-01-19 10:26:58.557261+00:00,,,,
Apple,ಸೇಬು,सेब,सफरचंद,ఆపిల్,ஆப்பிள்,સફરજન,سیب,আপেল,ଆପଲ୍,ആപ്പിൾ,{},crops_d56e6771-0729-41f2-af62-66a91d535fb2,2026-01-19 10:28:12.022642+00:00,,,,
Apricot,ಜಲ್ದಾರು ಹಣ್ಣು,खुबानी,जर्दाळू,నేరేడు పండు,பாதாமி,જરદાળુ,خوبانی,এপ্রিকট,ଆପ୍ରିକୋଟ,ആപ്രിക്കോട്ട്,{},crops_184a14ad-fac6-474b-a420-78132083b42c,2026-01-19 10:29:22.114832+00:00,,,,
Wheat,ಗೋಧಿ,गेहूँ,गहू,గోధుమ,கோதுமை,ઘઉં,گندم,গম,ଗହମ,ഗോതമ്പ്,{},crops_d22a895a-3ac2-4816-8f94-adca2732d834,2026-01-19 11:12:46.704893+00:00,,,,
Areca (betel nut),ಅಡಿಕೆ,सुपारी (पान का बीज),अरेका (सुपारी),అరెకా (తంపకాయ),பாக்கு (வெற்றிலை),સોપારી (સોપારી),اریکا (سپاری),সুপারি (সুপারি),ଆରେକା (ସୁପାରୀ),അരക്ക (വെറ്റില),{},crops_edb51425-e09f-4dd4-8fe4-7bbdc9de96ba,2026-01-19 10:29:55.970101+00:00,,,,
Artichoke,ಅರ್ಟಿಚೋಕ್,हाथी चक,आर्टिचोक,ఆర్టిచోక్,கூனைப்பூ,કાંટાળી ખાદ્ય વનસ્પતિ,آرٹچیک,আর্টিকোক,ଆର୍ଟିଚୋକ୍,ആർട്ടികോക്ക്,{},crops_a8c990f5-0d08-4a50-b6ca-f0f1eb2add54,2026-01-19 10:30:31.202092+00:00,,,,
Asparagus,ಶತಾವರಿ,शतावरी,शतावरी,ఆస్పరాగస్,அஸ்பாரகஸ்,શતાવરીનો છોડ,مار چوب ,অ্যাসপারাগাস,ଅସପାରାଗସ୍,ശതാവരിച്ചെടി,{},crops_c48e7fe3-2625-4259-a97c-4eec95ce29f0,2026-01-19 10:31:01.215045+00:00,,,,
Avocado,ಬೆಣ್ಣೆ ಹಣ್ಣು,एवोकैडो,एवोकॅडो,అవకాడో,அவகேடோ,એવોકાડો,ایواکاڈو,অ্যাভোকাডো,ଆଭୋକାଡୋ,അവോക്കാഡോ,{},crops_a3c67dd7-0a9f-4dbc-b35a-f02b51f7668d,2026-01-19 10:31:29.359564+00:00,,,,
Bajra (Pearl millet),ಸಜ್ಜೆ,बाजरा (मोती बाजरा),बाजरी (मोती बाजरी),బజ్రా (ముత్యపు మిల్లెట్),பஜ்ரா (முத்து தினை),બાજરી (મોતી બાજરી),باجرہ (موتی جوار),বাজরা (মুক্তার বাজরা),ବାଜରା (ମୋତି ବାଜରା),ബജ്ര (പേൾ മില്ലറ്റ്),{},crops_cb8c3e40-e3cc-4aac-ab54-c35be6e44ef1,2026-01-19 10:31:58.972882+00:00,,,,
Banana,ಬಾಳೆ ಹಣ್ಣು,केला,केळी,అరటి,வாழைப் பழம்,કેળા,کیلا,কলা,କଦଳୀ,വാഴപ്പഴം,{},crops_673d6c00-46a8-4fb1-a309-5125b08cc1fa,2026-01-19 10:33:06.383218+00:00,,,,
Barley,ಜವೆಗೋಧಿ,जौ,बार्ली,బార్లీ,பார்லி,જવ,جَو,বার্লি,ଯବ,ബാർലി,{},crops_09723362-5735-46fd-9b08-9f03d163ae62,2026-01-19 10:33:50.831441+00:00,,,,
"Beans, dry ",,,,,,,,,,,{},crops_851a68cb-2811-46d1-addc-e9133e687b48,2026-01-19 10:35:56.256766+00:00,,,,
"Beet, sugar  ",,,,,,,,,,,{},crops_4b9d9b84-e63e-4bd3-89a9-d02f4b0883c2,2026-01-19 10:36:23.094431+00:00,,,,
Black pepper,ಕರಿ ಮೆಣಸು,काली मिर्च,काळी मिरी,నల్ల మిరియాలు,கருப்பு மிளகு,કાળા મરી,کالی مرچ,কালো মরিচ,ଗୋଲମରିଚ,കുരുമുളക്,{},crops_888075d8-8c0f-411d-85a7-a0e97d0f45bd,2026-01-19 10:37:00.966461+00:00,,,,
Blackberries,ಬ್ಲ್ಯಾಕ್ ಬೆರ್ರಿ,ब्लैकबेरी,ब्लॅकबेरी,బ్లాక్బెర్రీస్,கருப்பட்டி,બ્લેકબેરી,بلیک بیریز,ব্ল্যাকবেরি,ବ୍ଲାକବେରୀ,ബ്ലാക്ക്ബെറികൾ,{},crops_e4310e35-5dd2-4aaa-ab25-69793998d56e,2026-01-19 10:37:39.015257+00:00,,,,
Blueberry,ಬ್ಲೂ ಬೆರ್ರಿ,ब्लूबेरी,ब्लूबेरी,బ్లూబెర్రీ,புளுபெர்ரி,બ્લુબેરી,بلیو بیری,ব্লুবেরি,ବ୍ଲୁବେରୀ,ഞാവൽപഴം,{},crops_45654b91-d8cd-457b-b897-80bc27a90d21,2026-01-19 10:38:02.301346+00:00,,,,
Broad bean,ಅವರೆಕಾಯಿ,बाकला,ब्रॉड बीन,బ్రాడ్ బీన్,அவரைக்காய்,પહોળા બીન,چوڑی پھلیاں,চওড়া শিম,ବ୍ରଡ୍ ବିନ୍,ബ്രോഡ് ബീൻ,{},crops_d0d0f234-578d-419d-a65a-54f90576dbcd,2026-01-19 10:38:33.559462+00:00,,,,
Broccoli,ಬ್ರೊಕೋಲಿ,ब्रोकोली,ब्रोकोली,బ్రోకలీ,ப்ரோக்கோலி,બ્રોકોલી,بروکولی,ব্রকলি,ବ୍ରୋକୋଲି,ബ്രോക്കോളി,{},crops_c2230156-ae4f-45e9-9b0e-cbc7713cde76,2026-01-19 10:39:02.492873+00:00,,,,
Cabbage,ಎಲೆಕೋಸು,पत्ता गोभी,कोबी,క్యాబేజీ,முட்டைக்கோஸ்,કોબી,گوبھی,বাঁধাকপি,ବନ୍ଧାକୋବି,കാബേജ്,{},crops_6871c2c2-0102-4071-aa12-f01235f03454,2026-01-19 10:39:28.026090+00:00,,,,
Cacao (cocoa),ಕೋಕೋ,कोको (Cacao),कोको (कोको),కోకో (కోకో),கோகோ (கோகோ),કોકો (કોકો),کوکو (کوکو),কোকো (কোকো),କାକୋ (କୋକୋ),കൊക്കോ (കൊക്കോ),{},crops_394ce249-1052-4744-b305-72bc0071e0b6,2026-01-19 10:40:25.030161+00:00,,,,
Cantaloupe,ಕರಬೂಜ,खरबूजा,कॅन्टालूप,కాంటాలౌప్,பாகற்காய்,કેન્ટાલૂપ,گرما,ক্যান্টালুপ,କାଣ୍ଟାଲୁପ୍,കാന്റലൂപ്പ്,{},crops_1758dc6d-a3a6-4cf5-a725-c8e866e0638b,2026-01-19 10:40:50.622353+00:00,,,,
Cardamom,ಏಲಕ್ಕಿ,इलायची,वेलची,ఏలకులు,ஏலக்காய்,એલચી,الائچی,এলাচ,କଞ୍ଚାଲଙ୍କା,ഏലം,{},crops_cba21002-49ad-427b-b051-db860370107f,2026-01-19 10:41:21.993613+00:00,,,,
Carrot,ಗಜ್ಜರಿ,गाजर,गाजर,క్యారెట్,கேரட்,ગાજર,گاجر,গাজর,ଗାଜର,കാരറ്റ്,{},crops_36521af2-946b-4c30-9a19-1e7e1f1617c6,2026-01-19 10:41:45.374436+00:00,,,,
Cashew nuts,ಗೋಡಂಬಿ,काजू,काजू,జీడిపప్పు,முந்திரி பருப்பு,કાજુ,کاجو,কাজু বাদাম,କାଜୁ ବାଦାମ,കശുവണ്ടി,{},crops_5381b51a-e50c-4d50-a6bc-d654a34e4124,2026-01-19 10:42:10.279963+00:00,,,,
Cassava (manioc),ಮರಗೆಣಸು,कसावा (मैनियोक),कसावा (मॅनिओक),కాసావా (మానియోక్),மரவள்ளிக்கிழங்கு (மனியோக்),કસાવા (મેનિઓક),کاساوا (مینیوک),কাসাভা (ম্যানিওক),କାସାଭା (ମାନିଓକ୍),കപ്പ (മാനിയോക്ക്),{},crops_239578ce-2390-4a18-9188-45ae29e7a473,2026-01-19 10:43:24.015512+00:00,,,,
Castor bean,ಹರಳು,अरंडी का बीज,एरंडेल बीन,కాస్టర్ బీన్,ஆமணக்கு பீன்,એરંડાની દાળ,ارنڈ کی پھلیاں,ক্যাস্টর বিন,କାଷ୍ଟର ବିନ୍,കാസ്റ്റർ ബീൻ,{},crops_c8693e24-aca8-44da-8928-f7db74553c29,2026-01-19 10:43:52.460198+00:00,,,,
Cauliflower,ಹೂಕೋಸು,फूलगोभी,फुलकोबी,కాలీఫ్లవర్,காலிஃபிளவர்,ફૂલકોબી,گوبھی,ফুলকপি,ଫୁଲକୋବି,കോളിഫ്ലവർ,{},crops_3699cfa1-2392-44df-ab84-71fb7842aca7,2026-01-19 10:44:34.000616+00:00,,,,
Celery,ಸೆಲರಿ,अजमोदा,सेलेरी,సెలెరీ,செலரி,સેલરી,اجوائن,সেলারি,ସେଲେରି,സെലറി,{},crops_55e79786-fe89-4d9d-9f14-1ea2f626c1e0,2026-01-19 10:44:52.735791+00:00,,,,
Cherry,ಚೆರ್ರಿ,चेरी,चेरी,చెర్రీ,செர்ரி,ચેરી,چیری,চেরি,ଚେରି,ചെറി,{},crops_3fff27fc-1bad-43b2-b756-0992abe456db,2026-01-19 10:45:18.674345+00:00,,,,
Chestnut,ಚೆಸ್ಟ್ ನಟ್,शाहबलूत,चेस्टनट,చెస్ట్‌నట్,கஷ்கொட்டை,ચેસ્ટનટ,شاہ بلوط,বাদামী,ଚେଷ୍ଟନଟ୍,ചെസ്റ്റ്നട്ട്,{},crops_677e9929-1b0e-4b5f-8e13-40c4c9b4f733,2026-01-19 10:45:39.272118+00:00,,,,
Chickpea (gram pea),ಕಡಲೆ,चना (ग्राम मटर),हरभरा (चणा वाटाणा),శనగపప్పు (శనగపప్పు),கொண்டைக்கடலை (கிராம் பட்டாணி),ચણા (ચણા),چنا (چنا مٹر),ছোলা (ছোলা),ଚଣା (ଚଣା ମଟର),കടല (പയർ),{},crops_a30a0c48-67b8-459f-8e0e-cf2d4df0be5a,2026-01-19 10:46:02.880242+00:00,,,,
Chicory,ಚಿಕೋರಿ,कासनी,चिकोरी,షికోరి,சிக்கரி,ચિકોરી,چکوری,চিকোরি,ଚିକୋରି,ചിക്കറി,{},crops_c005f9fb-cb13-43ad-80a6-14586adb4313,2026-01-19 10:46:25.209624+00:00,,,,
"Chili, dry ",,,,,,,,,,,{},crops_737ac225-6ad2-4cfc-97a3-3e8150cba009,2026-01-19 10:46:51.317771+00:00,,,,
"Chili, fresh",ಹಸಿ ಮೆಣಸಿನಕಾಯಿ,"मिर्च, ताज़ा","मिरची, ताजी","మిరపకాయ, తాజాగా","மிளகாய், புதியது","મરચું, તાજું",مرچ، تازہ,"মরিচ, তাজা","ଲଙ୍କା, ତାଜା","മുളക്, ഫ്രഷ്",{},crops_00739e26-c0b7-42a1-98ea-4d76e5f1a48b,2026-01-19 10:47:36.093319+00:00,,,,
Cinnamon,ದಾಲ್ಚಿನ್ನಿ,दालचीनी,दालचिनी,దాల్చిన చెక్క,இலவங்கப்பட்டை,તજ,دار چینی,দারুচিনি,ଡାଳଚିନି,കറുവപ്പട്ട,{},crops_5b84e880-3a8d-475b-b5ce-22f6ef4745b1,2026-01-19 10:48:09.642368+00:00,,,,
Clove,ಲವಂಗ,लौंग,लवंग,లవంగం,கிராம்பு,લવિંગ,لونگ,লবঙ্গ,ଲବଙ୍ଗ,ഗ്രാമ്പൂ,{},crops_7ff2869c-0a43-4bb6-8673-7d17759bbea7,2026-01-19 10:48:36.052725+00:00,,,,
Coconut,ತೆಂಗಿನಕಾಯಿ,नारियल,नारळ,కొబ్బరి,தேங்காய்,નાળિયેર,ناریل,নারকেল,ନଡ଼ିଆ,നാളികേരം,{},crops_2510c495-f9ea-42a5-a32d-a75a2a08f7be,2026-01-19 10:48:59.188430+00:00,,,,
Coffee,ಕಾಫಿ,कॉफी,कॉफी,కాఫీ,காபி,કોફી,کافی,কফি,କଫି,കോഫി,{},crops_0329c260-b411-4354-b530-022e62be51a8,2026-01-19 10:49:18.191235+00:00,,,,
Coriander (Cilantro),ಕೊತ್ತಂಬರಿ,धनिया (सिलेंट्रो),धणे (कोथिंबीर),కొత్తిమీర (కొత్తిమీర),கொத்தமல்லி (கொத்தமல்லி),ધાણા (કોથમીર),دھنیا (Clantro),ধনেপাতা (সিলান্ট্রো),ଧନିଆ (ସିଲାଣ୍ଟୋ),മല്ലിയില (മല്ലി),{},crops_3a742c78-db28-4b28-8797-bbc6a96f9de4,2026-01-19 10:50:34.523465+00:00,,,,
Corn (Maize),ಮೆಕ್ಕೆಜೋಳ,मक्का,मका (मका),మొక్కజొన్న (మొక్కజొన్న),சோளம் (மக்காச்சோளம்),મકાઈ,مکئی (مکئی),ভুট্টা,ମକା (ମକା),ചോളം (ചോളം),{},crops_1cf62109-cc2f-47da-97a6-6421fa00e9b0,2026-01-19 10:50:57.261525+00:00,,,,
Cotton,ಹತ್ತಿ,कपास,कापूस,పత్తి,பருத்தி,કપાસ,کپاس,তুলা,କପା,പരുത്തി,{},crops_3e9380d7-00f9-4978-8136-3d18faeb94fd,2026-01-19 10:51:19.696647+00:00,,,,
Cowpea,ಅಲಸಂದೆ,लोबिया,चवळी,కౌపీ,கௌபி,ચોળી,کاؤپیا۔,কাউপিয়া,କାଉପିଆ,പയർ,{},crops_c663aa03-ab10-40fb-b5b9-319938112174,2026-01-19 10:51:40.607038+00:00,,,,
Cucumber,ಸೌತೆಕಾಯಿ,खीरा,काकडी,దోసకాయ,வெள்ளரிக்காய்,કાકડી,کھیرا,শসা,କାକୁଡି,വെള്ളരിക്ക,{},crops_94c7cf02-4e20-4af8-be1c-64181f4ddbab,2026-01-19 10:52:00.743493+00:00,,,,
Dates,ಖರ್ಜೂರ,खजूर,तारखा,తేదీలు,தேதிகள்,તારીખો,تاریخیں,তারিখ,ତାରିଖ,തീയതികൾ,{},crops_fa41797f-bf43-4c51-bfee-a222f190c434,2026-01-19 10:52:16.697426+00:00,,,,
Eggplant,ಬದನೆಕಾಯಿ,बैंगन,वांगी,వంకాయ,கத்திரிக்காய்,રીંગણ,بینگن,বেগুন,ବାଇଗଣ,എഗ്പ്ലാന്റ്,{},crops_35c7cf5e-2f96-42a5-b629-16d93b1a15d2,2026-01-19 10:52:36.073873+00:00,,,,
Fennel,ಸೋಂಪು,सौंफ,एका जातीची बडीशेप,సోంపు,பெருஞ்சீரகம்,વરિયાળી,سونف,মৌরি,ପାନମହୁରୀ,പെരുംജീരകം,{},crops_90bb3e51-77bb-4ea8-bc8c-0b23b6bd58e3,2026-01-19 10:52:54.016854+00:00,,,,
Fenugreek,ಮೆಂತ್ಯ,मेथी,मेथी,మెంతులు,வெந்தயம்,મેથી,میتھی,মেথি,ମେଥି,ഉലുവ,{},crops_bdbc29d3-cc18-49ea-b3e2-d0717200ab78,2026-01-19 10:53:10.507539+00:00,,,,
Fig,ಅಂಜೂರ,अंजीर,अंजीर,అత్తి,படம்,ફિગ,انجیر,চিত্র,ଚିତ୍ର,അത്തിപ്പഴം,{},crops_9feac821-a2af-4468-9eae-0273b60deaa7,2026-01-19 10:53:26.305329+00:00,,,,
Garlic,ಬೆಳ್ಳುಳ್ಳಿ,लहसुन,लसूण,వెల్లుల్లి,பூண்டு,લસણ,لہسن,রসুন,ରସୁଣ,വെളുത്തുള്ളി,{},crops_2662c41c-8778-45f7-a8ff-8cd6254066be,2026-01-19 10:53:44.636396+00:00,,,,
Gooseberry,ನೆಲ್ಲಿಕಾಯಿ,करौंदा,गुसबेरी,గూస్బెర్రీ,நெல்லிக்காய்,ગૂસબેરી,کروندا,আমলকী,ଗୁସବେରୀ,നെല്ലിക്ക,{},crops_c57efc08-76c7-4175-8040-bc3c51f4a41a,2026-01-19 10:54:24.477360+00:00,,,,
Grapes,ದ್ರಾಕ್ಷಿ,अंगूर,द्राक्षे,ద్రాక్ష,திராட்சை,દ્રાક્ષ,انگور,আঙ্গুর,ଅଙ୍ଗୁର,മുന്തിരി,{},crops_c82f23e6-1a2d-4430-838e-d7c8cb9375c3,2026-01-19 10:54:41.957482+00:00,,,,
Grapefruit,ಚಕ್ಕೋತ,अंगूर,द्राक्षफळ,ద్రాక్షపండు,திராட்சைப்பழம்,ગ્રેપફ્રૂટ,گریپ فروٹ,জাম্বুরা,ଅଙ୍ଗୁର,ചെറുമധുരനാരങ്ങ,{},crops_481f1639-96b6-4838-9388-f257cf23f677,2026-01-19 10:55:01.120989+00:00,,,,
Yam,ಗೆಣಸು,याम,याम,యమ్,யாம்,રતાળુ,شکرقندی,ইয়াম,ଯମ୍,ചേന,{},crops_8273b52d-2645-4b00-a0e2-c880e73df146,2026-01-19 11:13:11.286700+00:00,,,,
Groundnut (peanut),ಕಡಲೆಕಾಯಿ,मूंगफली,शेंगदाणे (शेंगदाणे),వేరుశనగ (వేరుశనగ),நிலக்கடலை (வேர்க்கடலை),મગફળી (મગફળી),مونگ پھلی (مونگ پھلی),চীনাবাদাম (চিনাবাদাম),ଚିନାବାଦାମ (ଚିନାବାଦାମ),നിലക്കടല (നിലക്കടല),{},crops_330106ed-ce7a-482e-8763-76df3b7cdd89,2026-01-19 10:55:18.347959+00:00,,,,
Guava,ಸೀಬೆಹಣ್ಣು,अमरूद,पेरू,జామ,கொய்யா,જામફળ,امرود,পেয়ারা,ଗୁଆଭା,പേരയ്ക്ക,{},crops_7299a851-d1bb-4e0b-831f-d2bb10860d15,2026-01-19 10:55:43.661673+00:00,,,,
Hazelnut,ಹೇಜೆಲ್ ನಟ್,हेज़लनट,हेझलनट,హాజెల్ నట్,ஹேசல்நட்,હેઝલનટ,ہیزلنٹ,বাদাম,ହାଜେଲନଟ୍,ഹാസൽനട്ട്,{},crops_13ac9b90-4888-45e4-ab4c-5b66e2970775,2026-01-19 10:55:59.395742+00:00,,,,
Hemp,ಸೆಣಬು,भांग,भांग,జనపనార,சணல்,શણ,بھنگ,শণ,ଗଞ୍ଜେଇ,ഹെംപ്,{},crops_df4af177-c07a-4488-aa55-dcc0a81d89c0,2026-01-19 10:56:25.217995+00:00,,,,
Indigo,ನೀಲಿ ಗಿಡ,नील,इंडिगो,ఇండిగో,இண்டிகோ,ઈન્ડિગો,انڈگو,নীল,ଇଣ୍ଡିଗୋ,ഇൻഡിഗോ,{},crops_58367c94-0c0e-4ca6-bf68-08b8a4ec321f,2026-01-19 10:56:41.709918+00:00,,,,
Jasmine,ಮಲ್ಲಿಗೆ,चमेली,जास्मिन,జాస్మిన్,மல்லிகை,જાસ્મીન,چمیلی,জুঁই,ଜାସ୍ମିନ୍,ജാസ്മിൻ,{},crops_ec1fd7b1-eaca-43ed-83fc-69d357b348ae,2026-01-19 10:57:07.215499+00:00,,,,
Tomato,ಟೊಮೆಟೊ,टमाटर,टोमॅटो,టమాటో,தக்காளி,ટામેટા,ٹماٹر,টমেটো,ଟମାଟୋ,തക്കാളി,{},crops_03ea9146-018d-4e18-9ea6-433d954b72d9,2026-01-19 11:11:33.178289+00:00,,,,
Walnut,ಆಕ್ರೋಟ್,अखरोट,अक्रोड,వాల్నట్,வால்நட்,અખરોટ,اخروٹ,আখরোট,ଅଖରୋଟ,വാൽനട്ട്,{},crops_81288b7b-973f-46a5-b02e-adf5d29aac0a,2026-01-19 11:12:10.765788+00:00,,,,
Lemon,ನಿಂಬೆ ಹಣ್ಣು,नींबू,लिंबू,నిమ్మకాయ,எலுமிச்சை,લીંબુ,لیموں,লেবু,ଲେମ୍ବୁ,നാരങ്ങ,{},crops_baf01dc2-f932-4722-a311-980b0bfc1e3a,2026-01-19 10:57:56.150047+00:00,,,,
Lettuce,ಲೆಟಿಸ್,सलाद,लेट्यूस,లెట్యూస్,கீரை,લેટીસ,لیٹش,লেটুস,ଲେଟୁସ୍,ലെറ്റസ്,{},crops_0ab161c0-da3e-4f48-9b83-c3ed5c9b127b,2026-01-19 10:58:46.996102+00:00,,,,
Mango,ಮಾವಿನ ಹಣ್ಣು,आम,आंबा,మామిడి,மாங்கனி,કેરી,آم,আম,ଆମ୍ବ,മാമ്പഴം,{},crops_390456f3-b2f5-45eb-a10c-629aef8ff700,2026-01-19 10:59:53.665015+00:00,,,,
